iso3,ADMIN,country,ABBREV,ECONOMY,INCOME_GRP,continent,REGION_UN,SUBREGION,REGION_WB
CU1,Cuba,Cuba,Cuba,5. Emerging region: G20,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
HND,Honduras,Honduras,Hond.,6. Developing region,4. Lower middle income,North America,Americas,Central America,Latin America & Caribbean
ECU,Ecuador,Ecuador,Ecu.,6. Developing region,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
COL,Colombia,Colombia,Col.,6. Developing region,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
PRY,Paraguay,Paraguay,Para.,5. Emerging region: G20,4. Lower middle income,South America,Americas,South America,Latin America & Caribbean
BRI,Brazilian Island,Brazilian Island,,3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
PRT,Portugal,Portugal,Port.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia
MDA,Moldova,Moldova,Mda.,6. Developing region,4. Lower middle income,Europe,Europe,Eastern Europe,Europe & Central Asia
TKM,Turkmenistan,Turkmenistan,Turkm.,6. Developing region,3. Upper middle income,Asia,Asia,Central Asia,Europe & Central Asia
JOR,Jordan,Jordan,Jord.,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Middle East & North Africa
NPL,Nepal,Nepal,Nepal,7. Least developed region,5. Low income,Asia,Asia,Southern Asia,South Asia
LSO,Lesotho,Lesotho,Les.,7. Least developed region,4. Lower middle income,Africa,Africa,Southern Africa,Sub-Saharan Africa
CMR,Cameroon,Cameroon,Cam.,6. Developing region,4. Lower middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa
GAB,Gabon,Gabon,Gabon,6. Developing region,3. Upper middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa
NER,Niger,Niger,Niger,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
BFA,Burkina Faso,Burkina Faso,B.F.,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
TGO,Togo,Togo,Togo,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
GHA,Ghana,Ghana,Ghana,6. Developing region,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa
GNB,Guinea-Bissau,Guinea-Bissau,GnB.,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
GB1,Gibraltar,Gibraltar,Gib.,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia
US1,United States of America,United States of America,U.S.A.,1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,North America
CAN,Canada,Canada,Can.,1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,North America
MEX,Mexico,Mexico,Mex.,4. Emerging region: MIKT,3. Upper middle income,North America,Americas,Central America,Latin America & Caribbean
BLZ,Belize,Belize,Belize,6. Developing region,4. Lower middle income,North America,Americas,Central America,Latin America & Caribbean
PAN,Panama,Panama,Pan.,6. Developing region,3. Upper middle income,North America,Americas,Central America,Latin America & Caribbean
VEN,Venezuela,Venezuela,Ven.,5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean
PNG,Papua New Guinea,Papua New Guinea,P.N.G.,6. Developing region,4. Lower middle income,Oceania,Oceania,Melanesia,East Asia & Pacific
EGY,Egypt,Egypt,Egypt,5. Emerging region: G20,4. Lower middle income,Africa,Africa,Northern Africa,Middle East & North Africa
YEM,Yemen,Yemen,Yem.,7. Least developed region,4. Lower middle income,Asia,Asia,Western Asia,Middle East & North Africa
MRT,Mauritania,Mauritania,Mrt.,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
GNQ,Equatorial Guinea,Equatorial Guinea,Eq. G.,7. Least developed region,2. High income: nonOECD,Africa,Africa,Middle Africa,Sub-Saharan Africa
GMB,Gambia,The Gambia,Gambia,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa
CH1,Hong Kong S.A.R.,Hong Kong,H.K.,6. Developing region,2. High income: nonOECD,Asia,Asia,Eastern Asia,East Asia & Pacific
VAT,Vatican,Vatican City,Vat.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Southern Europe,Europe & Central Asia
CYN,Northern Cyprus,Turkish Republic of Northern Cyprus,N. Cy.,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Europe & Central Asia
CNM,Cyprus No Mans Area,United Nations Buffer Zone in Cyprus,,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Europe & Central Asia
KAS,Siachen Glacier,Siachen Glacier,Siachen,6. Developing region,4. Lower middle income,Asia,Asia,Southern Asia,South Asia
KA1,Baykonur Cosmodrome,Baikonur,Bayk.,2. Developed region: nonG7,3. Upper middle income,Asia,Asia,Central Asia,Europe & Central Asia
GB1,Akrotiri Sovereign Base Area,Akrotiri Sovereign Base Area,Akr.,2. Developed region: nonG7,2. High income: nonOECD,Asia,Asia,Western Asia,Europe & Central Asia
SPI,Southern Patagonian Ice Field,Southern Patagonian Ice Field,S.Pat. Ice Field,-99,-99,South America,Americas,South America,Latin America & Caribbean
BRT,Bir Tawil,Bir Tawil,B. Tawil,7. Least developed region,5. Low income,Africa,Africa,Northern Africa,Middle East & North Africa
ATA,Antarctica,Antarctica,Ant.,6. Developing region,2. High income: nonOECD,Antarctica,Antarctica,Antarctica,Antarctica
AU1,Australia,Australia,Auz.,2. Developed region: nonG7,1. High income: OECD,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific
DN1,Greenland,Greenland,Grlnd.,2. Developed region: nonG7,2. High income: nonOECD,North America,Americas,Northern America,Europe & Central Asia
FJI,Fiji,Fiji,Fiji,6. Developing region,4. Lower middle income,Oceania,Oceania,Melanesia,East Asia & Pacific
NZ1,New Zealand,New Zealand,N.Z.,2. Developed region: nonG7,1. High income: OECD,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific
FR1,New Caledonia,New Caledonia,New C.,6. Developing region,2. High income: nonOECD,Oceania,Oceania,Melanesia,East Asia & Pacific
MDG,Madagascar,Madagascar,Mad.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
PHL,Philippines,Philippines,Phil.,5. Emerging region: G20,4. Lower middle income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
LKA,Sri Lanka,Sri Lanka,Sri L.,6. Developing region,4. Lower middle income,Asia,Asia,Southern Asia,South Asia
NL1,Curaçao,Curaçao,Cur.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
NL1,Aruba,Aruba,Aruba,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
BHS,The Bahamas,The Bahamas,Bhs.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
GB1,Turks and Caicos Islands,Turks and Caicos Islands,T.C. Is.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
TWN,Taiwan,Taiwan,Taiwan,2. Developed region: nonG7,2. High income: nonOECD,Asia,Asia,Eastern Asia,East Asia & Pacific
JPN,Japan,Japan,Japan,1. Developed region: G7,1. High income: OECD,Asia,Asia,Eastern Asia,East Asia & Pacific
FR1,Saint Pierre and Miquelon,Saint Pierre and Miquelon,St. P.M.,2. Developed region: nonG7,3. Upper middle income,North America,Americas,Northern America,North America
ISL,Iceland,Iceland,Iceland,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia
GB1,Pitcairn Islands,Pitcairn Islands,Pit. Is.,7. Least developed region,5. Low income,Oceania,Oceania,Polynesia,East Asia & Pacific
FR1,French Polynesia,French Polynesia,Fr. Poly.,6. Developing region,2. High income: nonOECD,Oceania,Oceania,Polynesia,East Asia & Pacific
FR1,French Southern and Antarctic Lands,French Southern and Antarctic Lands,Fr. S.A.L.,6. Developing region,2. High income: nonOECD,Seven seas (open ocean),Africa,Seven seas (open ocean),Sub-Saharan Africa
SYC,Seychelles,Seychelles,Syc.,6. Developing region,3. Upper middle income,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa
KIR,Kiribati,Kiribati,Kir.,7. Least developed region,4. Lower middle income,Oceania,Oceania,Micronesia,East Asia & Pacific
MHL,Marshall Islands,Marshall Islands,M. Is.,6. Developing region,4. Lower middle income,Oceania,Oceania,Micronesia,East Asia & Pacific
TTO,Trinidad and Tobago,Trinidad and Tobago,Tr.T.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
GRD,Grenada,Grenada,Gren.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,St.V.G.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
BRB,Barbados,Barbados,Barb.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
LCA,Saint Lucia,Saint Lucia,S.L.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
DMA,Dominica,Dominica,D'inca,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
US1,United States Minor Outlying Islands,United States Minor Outlying Islands,U.S. MOI,7. Least developed region,5. Low income,North America,Oceania,Seven seas (open ocean),East Asia & Pacific
GB1,Montserrat,Montserrat,Monts.,6. Developing region,4. Lower middle income,North America,Americas,Caribbean,Latin America & Caribbean
ATG,Antigua and Barbuda,Antigua and Barbuda,Ant.B.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,St.K.N.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
US1,United States Virgin Islands,United States Virgin Islands,V.I. (U.S.),6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
FR1,Saint Barthelemy,Saint Barthélemy,St. B.,2. Developed region: nonG7,1. High income: OECD,North America,Americas,Caribbean,Latin America & Caribbean
US1,Puerto Rico,Puerto Rico,P.R.,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
GB1,Anguilla,Anguilla,Ang.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
GB1,British Virgin Islands,British Virgin Islands,V.I. (Br.),2. Developed region: nonG7,1. High income: OECD,North America,Americas,Caribbean,Latin America & Caribbean
JAM,Jamaica,Jamaica,Jam.,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean
GB1,Cayman Islands,Cayman Islands,Cym. Is.,5. Emerging region: G20,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean
GB1,Bermuda,Bermuda,Berm.,2. Developed region: nonG7,2. High income: nonOECD,North America,Americas,Northern America,North America
AU1,Heard Island and McDonald Islands,Heard Island and McDonald Islands,H.M.Is.,7. Least developed region,5. Low income,Seven seas (open ocean),Africa,Seven seas (open ocean),Sub-Saharan Africa
GB1,Saint Helena,Saint Helena,St.H.,6. Developing region,4. Lower middle income,Seven seas (open ocean),Africa,Western Africa,Sub-Saharan Africa
MUS,Mauritius,Mauritius,Mus.,6. Developing region,3. Upper middle income,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa
COM,Comoros,Comoros,Com.,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa
STP,São Tomé and Principe,São Tomé and Príncipe,S.T.P.,7. Least developed region,4. Lower middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa
CPV,Cabo Verde,Cape Verde,C.Vd.,6. Developing region,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa
MLT,Malta,Malta,Malta,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Southern Europe,Middle East & North Africa
GB1,Jersey,Jersey,Jey.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Northern Europe,Europe & Central Asia
GB1,Guernsey,Guernsey,Guern.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Northern Europe,Europe & Central Asia
GB1,Isle of Man,Isle of Man,IoMan,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Northern Europe,Europe & Central Asia
FI1,Aland,Åland,Åland,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia
DN1,Faroe Islands,Faroe Islands,Faeroe Is.,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Northern Europe,Europe & Central Asia
AU1,Indian Ocean Territories,Australian Indian Ocean Territories,Ind. Oc. Ter.,2. Developed region: nonG7,2. High income: nonOECD,Asia,Africa,Seven seas (open ocean),East Asia & Pacific
GB1,British Indian Ocean Territory,British Indian Ocean Territory,I.O.T.,2. Developed region: nonG7,2. High income: nonOECD,Seven seas (open ocean),Africa,Seven seas (open ocean),Sub-Saharan Africa
SGP,Singapore,Singapore,Sing.,6. Developing region,2. High income: nonOECD,Asia,Asia,South-Eastern Asia,East Asia & Pacific
AU1,Norfolk Island,Norfolk Island,Nfk. I.,6. Developing region,4. Lower middle income,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific
NZ1,Cook Islands,Cook Islands,Cook Is.,6. Developing region,3. Upper middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
TON,Tonga,Tonga,Tongo,6. Developing region,4. Lower middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
FR1,Wallis and Futuna,Wallis and Futuna,Wlf.,6. Developing region,4. Lower middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
WSM,Samoa,Samoa,Samoa,7. Least developed region,4. Lower middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
SLB,Solomon Islands,Solomon Islands,S. Is.,7. Least developed region,4. Lower middle income,Oceania,Oceania,Melanesia,East Asia & Pacific
TUV,Tuvalu,Tuvalu,Tuv.,7. Least developed region,3. Upper middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
MDV,Maldives,Maldives,Mald.,6. Developing region,3. Upper middle income,Seven seas (open ocean),Asia,Southern Asia,South Asia
NRU,Nauru,Nauru,Nauru,6. Developing region,4. Lower middle income,Oceania,Oceania,Micronesia,East Asia & Pacific
FSM,Federated States of Micronesia,Federated States of Micronesia,F.S.M.,6. Developing region,4. Lower middle income,Oceania,Oceania,Micronesia,East Asia & Pacific
GB1,South Georgia and the Islands,South Georgia and the South Sandwich Islands,S.G. & Is.,7. Least developed region,5. Low income,Seven seas (open ocean),Americas,Seven seas (open ocean),Antarctica
GB1,Falkland Islands,Falkland Islands,Flk. Is.,2. Developed region: nonG7,1. High income: OECD,South America,Americas,South America,Latin America & Caribbean
VUT,Vanuatu,Vanuatu,Van.,7. Least developed region,4. Lower middle income,Oceania,Oceania,Melanesia,East Asia & Pacific
NZ1,Niue,Niue,Niue,6. Developing region,3. Upper middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
US1,American Samoa,American Samoa,Am. Samoa,6. Developing region,3. Upper middle income,Oceania,Oceania,Polynesia,East Asia & Pacific
PLW,Palau,Palau,Palau,6. Developing region,3. Upper middle income,Oceania,Oceania,Micronesia,East Asia & Pacific
US1,Guam,Guam,Guam,6. Developing region,2. High income: nonOECD,Oceania,Oceania,Micronesia,East Asia & Pacific
US1,Northern Mariana Islands,Northern Mariana Islands,N.M.I.,6. Developing region,2. High income: nonOECD,Oceania,Oceania,Micronesia,East Asia & Pacific
BHR,Bahrain,Bahrain,Bahr.,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa
AU1,Coral Sea Islands,Coral Sea Islands,C.S.I.,7. Least developed region,5. Low income,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific
PGA,Spratly Islands,Wake Island,Spratly Is.,7. Least developed region,5. Low income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
FR1,Clipperton Island,Clipperton Island,Clp. I.,7. Least developed region,5. Low income,Seven seas (open ocean),Americas,Central America,Latin America & Caribbean
CH1,Macao S.A.R,Macau,Mac.,6. Developing region,2. High income: nonOECD,Asia,Asia,Eastern Asia,East Asia & Pacific
AU1,Ashmore and Cartier Islands,Ashmore and Cartier Islands,A.C.Is.,7. Least developed region,5. Low income,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific
BJN,Bajo Nuevo Bank (Petrel Is.),Bajo Nuevo Bank,,7. Least developed region,5. Low income,North America,Americas,Caribbean,Latin America & Caribbean
SER,Serranilla Bank,Serranilla Bank,S.B.,7. Least developed region,5. Low income,North America,Americas,Caribbean,Latin America & Caribbean
SCR,Scarborough Reef,Scarborough Shoal,S.R.,7. Least developed region,5. Low income,Asia,Asia,South-Eastern Asia,East Asia & Pacific
